presvote20post,birthyr,gender4,educ,race,urbancity,religpew,gunown,edloan,vote_choice,age,gender,education,race_group,location
1,1997,2,5,1,1,11,3,1,democrat,25,female,college graduate,white,urban
2,1944,1,5,1,2,1,1,2,republican,78,male,college graduate,white,suburban
1,1958,1,6,1,4,2,3,2,democrat,64,male,postgraduate,white,other
1,1943,1,6,1,1,10,3,2,democrat,79,male,postgraduate,white,urban
3,1937,1,5,1,2,1,3,2,did not vote,85,male,college graduate,white,suburban
6,2000,2,4,1,1,12,3,2,other,22,female,some college,white,urban
1,1964,2,2,3,3,11,3,2,democrat,58,female,high school or less,hispanic,rural
2,1962,2,3,1,2,10,1,2,republican,60,female,some college,white,suburban
2,1951,1,3,1,3,12,NA,2,republican,71,male,some college,white,rural
1,1964,2,6,1,3,1,1,2,democrat,58,female,postgraduate,white,rural
2,1948,2,3,1,2,1,2,2,republican,74,female,some college,white,suburban
1,1968,2,2,2,1,7,3,2,democrat,54,female,high school or less,black,urban
1,1947,1,5,1,2,1,3,2,democrat,75,male,college graduate,white,suburban
1,1962,2,4,3,2,2,3,2,democrat,60,female,some college,hispanic,suburban
1,1998,4,3,2,1,9,3,2,democrat,24,other,some college,black,urban
1,1965,2,2,3,1,2,3,2,democrat,57,female,high school or less,hispanic,urban
1,1957,2,6,1,2,10,3,2,democrat,65,female,postgraduate,white,suburban
6,1968,2,2,1,2,12,3,2,other,54,female,high school or less,white,suburban
2,1944,1,3,1,2,11,1,2,republican,78,male,some college,white,suburban
2,1937,1,5,1,1,2,1,2,republican,85,male,college graduate,white,urban
2,1993,2,5,1,4,5,1,2,republican,29,female,college graduate,white,other
2,1959,1,2,1,4,1,1,2,republican,63,male,high school or less,white,other
2,1958,1,3,1,4,1,1,2,republican,64,male,some college,white,other
1,1972,2,5,1,1,1,3,2,democrat,50,female,college graduate,white,urban
2,1952,2,5,1,1,1,3,2,republican,70,female,college graduate,white,urban
6,1992,2,6,4,2,11,8,2,other,30,female,postgraduate,asian,suburban
6,1952,2,2,1,4,2,3,2,other,70,female,high school or less,white,other
6,1992,2,3,3,2,2,3,2,other,30,female,some college,hispanic,suburban
1,1986,1,6,1,1,2,3,2,democrat,36,male,postgraduate,white,urban
2,1992,2,6,8,1,1,2,2,republican,30,female,postgraduate,other,urban
2,1991,2,4,1,4,11,1,2,republican,31,female,some college,white,other
2,1966,1,2,1,4,1,3,2,republican,56,male,high school or less,white,other
6,2002,2,3,4,2,9,NA,NA,other,20,female,some college,asian,suburban
6,2002,2,1,3,1,11,NA,NA,other,20,female,high school or less,hispanic,urban
2,1965,2,5,1,1,1,1,2,republican,57,female,college graduate,white,urban
1,1966,2,2,3,4,1,NA,NA,democrat,56,female,high school or less,hispanic,other
3,1971,1,6,1,2,2,1,2,did not vote,51,male,postgraduate,white,suburban
2,1990,2,2,1,3,1,3,2,republican,32,female,high school or less,white,rural
2,1987,2,4,1,4,1,1,2,republican,35,female,some college,white,other
6,1993,2,5,1,2,1,3,2,other,29,female,college graduate,white,suburban
2,1974,1,5,1,2,10,3,2,republican,48,male,college graduate,white,suburban
2,1949,1,5,1,2,5,3,2,republican,73,male,college graduate,white,suburban
1,1992,1,5,1,2,11,3,2,democrat,30,male,college graduate,white,suburban
6,1994,1,3,6,2,12,NA,NA,other,28,male,some college,other,suburban
2,1957,1,5,1,2,1,3,2,republican,65,male,college graduate,white,suburban
1,1992,2,6,1,2,5,3,2,democrat,30,female,postgraduate,white,suburban
6,1952,1,5,1,2,9,3,2,other,70,male,college graduate,white,suburban
6,1988,2,5,1,4,2,NA,NA,other,34,female,college graduate,white,other
2,1955,2,6,1,4,2,1,2,republican,67,female,postgraduate,white,other
6,2003,1,3,1,1,3,3,2,other,19,male,some college,white,urban
1,1957,2,6,1,2,1,2,2,democrat,65,female,postgraduate,white,suburban
4,1957,1,5,1,4,10,3,2,did not vote,65,male,college graduate,white,other
1,1947,1,6,1,2,1,1,2,democrat,75,male,postgraduate,white,suburban
2,1934,1,6,1,2,1,1,2,republican,88,male,postgraduate,white,suburban
6,1993,2,3,4,2,2,2,1,other,29,female,some college,asian,suburban
2,1951,1,3,5,3,1,1,2,republican,71,male,some college,other,rural
5,1943,1,5,5,4,1,NA,2,did not vote,79,male,college graduate,other,other
1,1995,1,2,1,3,9,3,2,democrat,27,male,high school or less,white,rural
1,1943,1,6,1,3,1,3,2,democrat,79,male,postgraduate,white,rural
6,2001,2,1,2,4,11,3,2,other,21,female,high school or less,black,other
1,1946,2,6,1,2,1,3,2,democrat,76,female,postgraduate,white,suburban
2,1946,1,5,1,2,1,1,2,republican,76,male,college graduate,white,suburban
2,1949,1,4,1,4,2,1,2,republican,73,male,some college,white,other
1,1949,1,5,1,2,1,1,2,democrat,73,male,college graduate,white,suburban
6,1994,2,5,4,1,7,2,2,other,28,female,college graduate,asian,urban
1,1952,2,6,1,2,1,3,2,democrat,70,female,postgraduate,white,suburban
2,1944,1,5,1,2,5,1,1,republican,78,male,college graduate,white,suburban
1,1945,1,5,1,1,11,3,2,democrat,77,male,college graduate,white,urban
2,1947,1,5,1,2,2,3,2,republican,75,male,college graduate,white,suburban
4,1948,1,6,1,1,5,3,2,did not vote,74,male,postgraduate,white,urban
1,1951,1,3,1,3,11,3,2,democrat,71,male,some college,white,rural
1,1964,1,5,1,2,10,1,2,democrat,58,male,college graduate,white,suburban
1,1998,2,5,6,1,11,3,2,democrat,24,female,college graduate,other,urban
1,1954,1,4,1,4,10,3,2,democrat,68,male,some college,white,other
2,1971,2,3,1,1,1,8,2,republican,51,female,some college,white,urban
2,1990,2,2,1,2,1,3,2,republican,32,female,high school or less,white,suburban
2,1992,2,6,1,2,2,3,1,republican,30,female,postgraduate,white,suburban
2,1967,1,2,1,2,10,NA,NA,republican,55,male,high school or less,white,suburban
1,1945,1,5,1,1,9,3,2,democrat,77,male,college graduate,white,urban
2,1954,1,5,1,2,1,2,2,republican,68,male,college graduate,white,suburban
2,1948,1,5,1,4,12,1,2,republican,74,male,college graduate,white,other
2,1946,1,6,1,2,2,3,2,republican,76,male,postgraduate,white,suburban
1,1943,1,3,1,1,11,3,2,democrat,79,male,some college,white,urban
1,1949,1,5,1,2,1,1,1,democrat,73,male,college graduate,white,suburban
2,1947,1,6,1,2,1,1,2,republican,75,male,postgraduate,white,suburban
2,1996,2,2,1,4,11,1,2,republican,26,female,high school or less,white,other
2,1937,1,6,1,2,1,3,2,republican,85,male,postgraduate,white,suburban
2,2000,2,3,1,4,1,3,1,republican,22,female,some college,white,other
1,1950,2,5,1,1,9,3,2,democrat,72,female,college graduate,white,urban
2,1943,2,6,1,3,2,3,2,republican,79,female,postgraduate,white,rural
6,1986,1,6,1,1,2,3,2,other,36,male,postgraduate,white,urban
1,1997,1,6,1,1,10,3,2,democrat,25,male,postgraduate,white,urban
1,1951,1,3,1,4,9,3,2,democrat,71,male,some college,white,other
1,1947,1,5,4,1,1,3,2,democrat,75,male,college graduate,asian,urban
1,1974,1,4,1,1,9,3,2,democrat,48,male,some college,white,urban
1,1950,2,5,1,2,9,3,2,democrat,72,female,college graduate,white,suburban
1,1943,2,6,1,4,1,3,2,democrat,79,female,postgraduate,white,other
1,1954,1,6,1,2,11,1,2,democrat,68,male,postgraduate,white,suburban
1,1957,2,3,1,2,5,2,2,democrat,65,female,some college,white,suburban
1,1941,2,4,1,1,9,3,2,democrat,81,female,some college,white,urban
2,1949,1,6,1,2,1,1,2,republican,73,male,postgraduate,white,suburban
5,1955,1,6,1,2,12,3,1,did not vote,67,male,postgraduate,white,suburban
2,1957,1,5,1,4,1,1,2,republican,65,male,college graduate,white,other
2,1964,1,5,1,2,2,8,2,republican,58,male,college graduate,white,suburban
1,1973,2,5,1,2,2,3,2,democrat,49,female,college graduate,white,suburban
1,1937,1,6,1,2,11,3,2,democrat,85,male,postgraduate,white,suburban
2,1996,1,2,1,4,10,1,2,republican,26,male,high school or less,white,other
1,1956,1,6,1,1,9,3,2,democrat,66,male,postgraduate,white,urban
2,1990,2,6,1,3,1,3,1,republican,32,female,postgraduate,white,rural
2,1989,2,6,1,2,1,3,2,republican,33,female,postgraduate,white,suburban
1,1948,1,5,1,1,5,3,2,democrat,74,male,college graduate,white,urban
1,1957,2,3,1,2,1,3,2,democrat,65,female,some college,white,suburban
2,1949,1,3,1,2,1,1,2,republican,73,male,some college,white,suburban
1,1946,1,6,1,5,2,1,2,democrat,76,male,postgraduate,white,other
1,1957,1,5,1,1,11,3,2,democrat,65,male,college graduate,white,urban
2,1964,2,3,1,1,12,1,2,republican,58,female,some college,white,urban
2,1954,2,4,1,2,1,NA,2,republican,68,female,some college,white,suburban
2,1975,1,5,1,2,4,3,2,republican,47,male,college graduate,white,suburban
2,1946,1,6,5,3,12,1,2,republican,76,male,postgraduate,other,rural
2,1951,1,6,3,2,2,1,2,republican,71,male,postgraduate,hispanic,suburban
6,1992,1,2,1,2,2,8,2,other,30,male,high school or less,white,suburban
1,1951,1,6,1,4,12,1,2,democrat,71,male,postgraduate,white,other
6,1992,2,2,3,1,11,3,2,other,30,female,high school or less,hispanic,urban
6,1995,1,3,2,1,11,NA,NA,other,27,male,some college,black,urban
2,1952,2,4,1,4,11,3,2,republican,70,female,some college,white,other
2,1973,1,3,1,1,11,3,2,republican,49,male,some college,white,urban
1,1951,2,5,1,3,1,2,2,democrat,71,female,college graduate,white,rural
2,1939,1,6,1,3,1,1,2,republican,83,male,postgraduate,white,rural
2,1958,1,4,1,4,1,1,2,republican,64,male,some college,white,other
2,1951,1,6,1,2,1,1,2,republican,71,male,postgraduate,white,suburban
1,1967,2,3,3,1,7,1,1,democrat,55,female,some college,hispanic,urban
6,2000,1,4,1,2,11,3,2,other,22,male,some college,white,suburban
1,1943,1,3,1,4,1,1,2,democrat,79,male,some college,white,other
2,1962,1,4,1,2,10,3,2,republican,60,male,some college,white,suburban
2,1959,1,5,1,2,1,3,2,republican,63,male,college graduate,white,suburban
1,1963,1,2,7,2,11,1,2,democrat,59,male,high school or less,other,suburban
1,1966,2,3,1,3,9,3,2,democrat,56,female,some college,white,rural
2,1951,1,5,1,4,11,3,2,republican,71,male,college graduate,white,other
1,1940,1,5,1,3,10,3,2,democrat,82,male,college graduate,white,rural
3,1960,1,3,5,4,10,1,2,did not vote,62,male,some college,other,other
2,1945,2,3,1,2,11,2,2,republican,77,female,some college,white,suburban
1,1994,1,2,1,1,4,3,2,democrat,28,male,high school or less,white,urban
2,1947,1,5,1,4,2,8,1,republican,75,male,college graduate,white,other
1,2000,3,2,1,2,11,3,2,democrat,22,non-binary,high school or less,white,suburban
6,1964,1,1,1,2,11,NA,NA,other,58,male,high school or less,white,suburban
1,1943,1,6,1,2,11,3,2,democrat,79,male,postgraduate,white,suburban
2,1953,2,6,1,4,1,2,2,republican,69,female,postgraduate,white,other
1,1970,2,6,1,2,5,3,2,democrat,52,female,postgraduate,white,suburban
6,1953,1,4,3,2,2,NA,NA,other,69,male,some college,hispanic,suburban
2,1971,1,5,1,3,1,NA,2,republican,51,male,college graduate,white,rural
1,1943,2,5,1,1,10,3,2,democrat,79,female,college graduate,white,urban
1,1936,2,3,1,3,10,2,2,democrat,86,female,some college,white,rural
6,1978,2,4,2,4,11,8,2,other,44,female,some college,black,other
2,1937,1,5,1,3,10,3,2,republican,85,male,college graduate,white,rural
2,1952,1,3,1,4,1,2,2,republican,70,male,some college,white,other
1,1952,1,3,1,1,9,3,2,democrat,70,male,some college,white,urban
6,1958,1,5,1,3,1,3,2,other,64,male,college graduate,white,rural
1,1950,1,5,1,2,1,1,2,democrat,72,male,college graduate,white,suburban
1,1983,2,6,1,2,9,3,2,democrat,39,female,postgraduate,white,suburban
1,1949,1,4,4,2,11,3,2,democrat,73,male,some college,asian,suburban
6,1979,2,6,1,3,3,3,2,other,43,female,postgraduate,white,rural
2,1986,1,5,1,1,1,8,2,republican,36,male,college graduate,white,urban
1,1958,1,3,1,2,7,3,2,democrat,64,male,some college,white,suburban
1,1951,2,6,1,2,12,3,2,democrat,71,female,postgraduate,white,suburban
1,1947,2,6,1,2,5,3,2,democrat,75,female,postgraduate,white,suburban
1,1969,2,2,1,3,2,3,2,democrat,53,female,high school or less,white,rural
2,1942,2,3,1,4,1,3,2,republican,80,female,some college,white,other
1,1960,2,2,1,1,2,3,2,democrat,62,female,high school or less,white,urban
1,1968,2,2,2,1,1,NA,NA,democrat,54,female,high school or less,black,urban
3,1947,2,3,6,3,1,3,2,did not vote,75,female,some college,other,rural
1,1941,1,5,1,2,1,1,2,democrat,81,male,college graduate,white,suburban
1,1965,1,3,1,2,1,3,2,democrat,57,male,some college,white,suburban
6,1998,1,3,1,2,10,NA,NA,other,24,male,some college,white,suburban
1,1968,2,4,1,2,9,2,2,democrat,54,female,some college,white,suburban
2,1948,1,6,1,2,1,1,2,republican,74,male,postgraduate,white,suburban
1,1971,2,4,1,4,7,2,1,democrat,51,female,some college,white,other
1,1961,2,3,1,3,1,1,2,democrat,61,female,some college,white,rural
1,1959,1,3,1,2,5,3,2,democrat,63,male,some college,white,suburban
2,1947,2,4,1,2,1,3,2,republican,75,female,some college,white,suburban
1,1958,1,5,1,4,11,3,2,democrat,64,male,college graduate,white,other
1,1954,2,5,2,1,1,3,1,democrat,68,female,college graduate,black,urban
2,1951,1,5,1,3,1,3,2,republican,71,male,college graduate,white,rural
1,1960,2,5,2,2,1,3,2,democrat,62,female,college graduate,black,suburban
2,1971,2,2,1,2,2,3,2,republican,51,female,high school or less,white,suburban
2,1945,1,5,1,2,1,3,2,republican,77,male,college graduate,white,suburban
1,1943,2,5,1,1,5,3,2,democrat,79,female,college graduate,white,urban
1,1966,2,3,1,4,11,2,1,democrat,56,female,some college,white,other
1,1968,2,3,1,1,10,3,2,democrat,54,female,some college,white,urban
2,1958,1,5,1,2,11,1,2,republican,64,male,college graduate,white,suburban
1,1948,2,6,1,2,9,3,2,democrat,74,female,postgraduate,white,suburban
2,1964,2,4,1,2,1,3,1,republican,58,female,some college,white,suburban
1,1946,2,5,1,1,1,3,2,democrat,76,female,college graduate,white,urban
2,1956,2,3,1,2,2,3,2,republican,66,female,some college,white,suburban
1,1942,2,3,1,3,10,2,2,democrat,80,female,some college,white,rural
1,1955,1,5,1,1,2,3,2,democrat,67,male,college graduate,white,urban
2,1964,2,3,1,2,11,3,2,republican,58,female,some college,white,suburban
1,1970,2,6,1,2,9,1,2,democrat,52,female,postgraduate,white,suburban
2,1950,1,5,1,4,1,1,2,republican,72,male,college graduate,white,other
2,1961,2,2,1,4,12,2,2,republican,61,female,high school or less,white,other
1,1997,1,4,1,1,2,2,1,democrat,25,male,some college,white,urban
2,1943,1,3,1,2,3,1,2,republican,79,male,some college,white,suburban
1,1951,2,6,1,1,12,3,2,democrat,71,female,postgraduate,white,urban
2,1947,1,2,3,4,1,NA,NA,republican,75,male,high school or less,hispanic,other
2,1945,1,5,1,2,2,1,2,republican,77,male,college graduate,white,suburban
1,1973,2,5,3,2,1,3,2,democrat,49,female,college graduate,hispanic,suburban
6,1947,1,3,1,1,12,1,2,other,75,male,some college,white,urban
1,1973,1,5,1,3,2,3,2,democrat,49,male,college graduate,white,rural
2,1939,1,3,1,2,2,3,2,republican,83,male,some college,white,suburban
1,1939,1,5,1,4,10,3,2,democrat,83,male,college graduate,white,other
1,1954,2,6,1,1,1,1,2,democrat,68,female,postgraduate,white,urban
1,1971,2,5,2,2,2,3,2,democrat,51,female,college graduate,black,suburban
6,2000,1,2,1,4,11,3,2,other,22,male,high school or less,white,other
6,1996,1,5,2,1,1,8,2,other,26,male,college graduate,black,urban
2,1953,1,2,1,4,1,3,2,republican,69,male,high school or less,white,other
2,1954,1,2,1,2,1,NA,NA,republican,68,male,high school or less,white,suburban
6,1998,2,5,1,2,11,3,1,other,24,female,college graduate,white,suburban
2,1966,1,5,1,4,1,1,2,republican,56,male,college graduate,white,other
1,1967,1,6,1,2,5,3,1,democrat,55,male,postgraduate,white,suburban
1,1960,1,5,1,2,5,3,2,democrat,62,male,college graduate,white,suburban
1,2001,3,3,1,1,10,3,1,democrat,21,non-binary,some college,white,urban
2,1950,1,6,1,2,3,3,2,republican,72,male,postgraduate,white,suburban
1,1968,1,5,1,2,11,3,2,democrat,54,male,college graduate,white,suburban
6,1989,2,5,3,2,11,2,2,other,33,female,college graduate,hispanic,suburban
1,1964,1,5,1,2,2,3,2,democrat,58,male,college graduate,white,suburban
6,1974,2,1,1,1,2,3,2,other,48,female,high school or less,white,urban
2,1987,2,5,1,2,3,1,2,republican,35,female,college graduate,white,suburban
2,1960,1,5,1,2,2,3,2,republican,62,male,college graduate,white,suburban
2,1948,1,5,1,2,1,3,2,republican,74,male,college graduate,white,suburban
2,1962,1,5,3,2,2,1,2,republican,60,male,college graduate,hispanic,suburban
2,1960,2,2,1,4,1,3,2,republican,62,female,high school or less,white,other
1,1954,1,5,1,1,2,3,1,democrat,68,male,college graduate,white,urban
1,1947,1,6,1,1,11,3,2,democrat,75,male,postgraduate,white,urban
2,1956,1,4,1,2,2,1,2,republican,66,male,some college,white,suburban
1,1943,2,2,1,1,1,3,2,democrat,79,female,high school or less,white,urban
2,1972,1,3,1,4,1,1,2,republican,50,male,some college,white,other
2,1944,1,6,1,2,5,3,2,republican,78,male,postgraduate,white,suburban
1,1957,2,6,1,4,2,3,2,democrat,65,female,postgraduate,white,other
2,1969,1,5,1,4,1,2,2,republican,53,male,college graduate,white,other
1,1948,1,3,1,3,2,3,2,democrat,74,male,some college,white,rural
2,1960,2,5,1,2,1,3,2,republican,62,female,college graduate,white,suburban
2,1970,2,2,1,1,1,2,2,republican,52,female,high school or less,white,urban
2,1984,1,5,1,4,11,1,2,republican,38,male,college graduate,white,other
2,1971,1,5,1,3,11,1,1,republican,51,male,college graduate,white,rural
2,1945,1,6,1,2,5,3,2,republican,77,male,postgraduate,white,suburban
1,1994,1,5,1,2,11,3,1,democrat,28,male,college graduate,white,suburban
1,1943,1,5,1,2,5,3,2,democrat,79,male,college graduate,white,suburban
2,1951,2,6,1,2,1,3,2,republican,71,female,postgraduate,white,suburban
6,1993,1,3,2,2,11,3,1,other,29,male,some college,black,suburban
1,1953,1,2,1,4,2,3,2,democrat,69,male,high school or less,white,other
1,1969,2,2,1,1,12,3,2,democrat,53,female,high school or less,white,urban
6,1999,2,2,2,2,1,NA,NA,other,23,female,high school or less,black,suburban
2,1992,2,5,1,1,2,NA,NA,republican,30,female,college graduate,white,urban
1,1966,1,5,1,2,9,1,2,democrat,56,male,college graduate,white,suburban
1,1956,1,3,1,2,11,1,2,democrat,66,male,some college,white,suburban
1,1959,1,3,2,1,11,3,2,democrat,63,male,some college,black,urban
1,1957,1,6,1,2,1,3,2,democrat,65,male,postgraduate,white,suburban
2,1959,1,2,1,4,1,1,2,republican,63,male,high school or less,white,other
1,1965,1,5,1,2,11,3,2,democrat,57,male,college graduate,white,suburban
1,1962,1,3,1,3,9,3,2,democrat,60,male,some college,white,rural
6,2000,1,2,1,3,12,2,2,other,22,male,high school or less,white,rural
1,1935,2,3,1,1,1,3,2,democrat,87,female,some college,white,urban
1,1966,1,3,2,1,9,3,2,democrat,56,male,some college,black,urban
2,1941,1,3,1,1,2,1,2,republican,81,male,some college,white,urban
2,1956,2,5,1,3,5,3,2,republican,66,female,college graduate,white,rural
1,1947,1,3,1,4,9,1,2,democrat,75,male,some college,white,other
2,1949,2,6,1,2,12,1,2,republican,73,female,postgraduate,white,suburban
1,1967,2,5,4,1,2,2,2,democrat,55,female,college graduate,asian,urban
2,1958,2,4,3,4,1,3,2,republican,64,female,some college,hispanic,other
1,1968,2,6,1,1,9,3,1,democrat,54,female,postgraduate,white,urban
2,1985,1,4,1,2,2,2,1,republican,37,male,some college,white,suburban
1,1938,2,2,1,4,11,1,2,democrat,84,female,high school or less,white,other
1,1974,1,5,7,2,8,3,2,democrat,48,male,college graduate,other,suburban
1,1946,1,5,1,2,2,1,2,democrat,76,male,college graduate,white,suburban
1,1962,2,6,1,2,11,3,2,democrat,60,female,postgraduate,white,suburban
1,1995,1,3,1,1,2,3,2,democrat,27,male,some college,white,urban
1,1947,1,6,1,2,1,3,2,democrat,75,male,postgraduate,white,suburban
1,1957,1,5,1,2,1,3,2,democrat,65,male,college graduate,white,suburban
1,1964,1,6,1,2,10,1,2,democrat,58,male,postgraduate,white,suburban
2,1939,1,2,1,2,2,3,2,republican,83,male,high school or less,white,suburban
1,1951,1,6,1,2,1,1,2,democrat,71,male,postgraduate,white,suburban
2,1962,1,5,1,2,1,1,1,republican,60,male,college graduate,white,suburban
2,1945,1,3,1,3,2,8,2,republican,77,male,some college,white,rural
3,1948,1,6,1,2,1,3,2,did not vote,74,male,postgraduate,white,suburban
1,1968,2,5,1,1,12,3,2,democrat,54,female,college graduate,white,urban
1,1946,1,5,1,1,2,1,2,democrat,76,male,college graduate,white,urban
1,1965,2,5,1,2,11,3,2,democrat,57,female,college graduate,white,suburban
2,1960,1,5,6,4,1,1,2,republican,62,male,college graduate,other,other
1,1957,1,5,1,3,9,3,2,democrat,65,male,college graduate,white,rural
2,1939,1,6,1,2,1,1,2,republican,83,male,postgraduate,white,suburban
2,1963,1,4,1,3,2,3,2,republican,59,male,some college,white,rural
2,1944,1,5,1,2,1,1,2,republican,78,male,college graduate,white,suburban
1,2000,1,4,5,4,10,1,2,democrat,22,male,some college,other,other
1,1982,2,3,1,4,2,2,2,democrat,40,female,some college,white,other
6,1995,1,5,2,1,2,3,2,other,27,male,college graduate,black,urban
1,1959,1,5,1,2,9,3,2,democrat,63,male,college graduate,white,suburban
1,1966,1,6,3,2,2,3,2,democrat,56,male,postgraduate,hispanic,suburban
1,1951,1,6,1,3,9,3,2,democrat,71,male,postgraduate,white,rural
2,1954,1,5,1,1,2,3,2,republican,68,male,college graduate,white,urban
1,1947,1,5,1,2,11,1,2,democrat,75,male,college graduate,white,suburban
2,1962,1,5,1,4,3,2,2,republican,60,male,college graduate,white,other
6,1980,2,3,1,2,11,1,2,other,42,female,some college,white,suburban
2,1941,1,6,1,4,1,1,2,republican,81,male,postgraduate,white,other
1,1942,1,6,1,4,2,1,2,democrat,80,male,postgraduate,white,other
1,1952,2,5,1,2,9,3,2,democrat,70,female,college graduate,white,suburban
2,1950,1,6,1,4,1,1,2,republican,72,male,postgraduate,white,other
2,1942,1,4,1,2,1,1,2,republican,80,male,some college,white,suburban
2,1961,1,6,1,3,12,1,2,republican,61,male,postgraduate,white,rural
1,1966,2,6,3,1,11,3,1,democrat,56,female,postgraduate,hispanic,urban
1,1957,1,6,1,1,1,3,2,democrat,65,male,postgraduate,white,urban
1,1965,1,2,1,2,2,3,2,democrat,57,male,high school or less,white,suburban
1,1953,2,2,1,4,9,2,2,democrat,69,female,high school or less,white,other
2,1950,2,6,1,1,1,8,2,republican,72,female,postgraduate,white,urban
2,1962,2,2,1,3,11,3,2,republican,60,female,high school or less,white,rural
2,1961,1,4,1,2,11,8,2,republican,61,male,some college,white,suburban
2,1944,1,6,7,2,2,3,2,republican,78,male,postgraduate,other,suburban
2,1950,1,5,1,2,2,3,2,republican,72,male,college graduate,white,suburban
1,1941,1,3,1,2,9,1,2,democrat,81,male,some college,white,suburban
2,1938,1,2,1,2,5,3,2,republican,84,male,high school or less,white,suburban
2,1995,2,5,1,1,5,3,1,republican,27,female,college graduate,white,urban
2,1970,1,5,1,3,10,1,2,republican,52,male,college graduate,white,rural
4,1977,1,1,1,3,5,NA,NA,did not vote,45,male,high school or less,white,rural
1,1954,2,5,1,2,10,1,2,democrat,68,female,college graduate,white,suburban
2,1941,2,5,1,3,2,3,2,republican,81,female,college graduate,white,rural
1,1984,2,5,1,2,2,3,1,democrat,38,female,college graduate,white,suburban
6,1975,2,6,4,1,11,1,2,other,47,female,postgraduate,asian,urban
1,1978,1,6,1,2,1,3,2,democrat,44,male,postgraduate,white,suburban
1,1957,1,5,1,1,12,3,2,democrat,65,male,college graduate,white,urban
6,1971,1,5,1,2,1,1,2,other,51,male,college graduate,white,suburban
1,1981,1,6,1,2,9,3,1,democrat,41,male,postgraduate,white,suburban
1,1958,2,2,1,2,1,3,2,democrat,64,female,high school or less,white,suburban
2,1942,1,3,1,2,2,1,2,republican,80,male,some college,white,suburban
1,1940,1,5,1,1,2,3,2,democrat,82,male,college graduate,white,urban
1,1945,1,6,1,1,5,3,2,democrat,77,male,postgraduate,white,urban
1,1960,1,2,1,1,2,3,2,democrat,62,male,high school or less,white,urban
2,1936,2,1,1,4,1,3,2,republican,86,female,high school or less,white,other
2,1953,1,5,1,2,2,1,2,republican,69,male,college graduate,white,suburban
1,1951,1,5,1,3,5,3,2,democrat,71,male,college graduate,white,rural
2,1963,1,6,1,2,2,3,1,republican,59,male,postgraduate,white,suburban
5,1979,1,3,1,1,11,NA,NA,did not vote,43,male,some college,white,urban
1,1951,1,3,1,4,1,1,2,democrat,71,male,some college,white,other
1,1967,1,6,5,3,12,3,2,democrat,55,male,postgraduate,other,rural
2,1957,1,4,1,1,1,8,2,republican,65,male,some college,white,urban
1,1940,1,6,1,3,10,3,2,democrat,82,male,postgraduate,white,rural
5,1960,2,6,1,2,12,3,1,did not vote,62,female,postgraduate,white,suburban
1,1982,1,3,1,1,1,3,2,democrat,40,male,some college,white,urban
2,1965,1,4,1,1,11,1,2,republican,57,male,some college,white,urban
5,1998,1,5,4,2,11,3,1,did not vote,24,male,college graduate,asian,suburban
1,1947,1,6,1,2,10,3,2,democrat,75,male,postgraduate,white,suburban
1,1963,2,6,1,4,2,3,2,democrat,59,female,postgraduate,white,other
1,1935,1,5,3,2,1,3,2,democrat,87,male,college graduate,hispanic,suburban
2,1952,2,6,1,1,1,3,2,republican,70,female,postgraduate,white,urban
1,1996,1,6,1,2,11,3,2,democrat,26,male,postgraduate,white,suburban
1,1957,1,5,1,1,10,3,2,democrat,65,male,college graduate,white,urban
1,1948,1,6,1,1,9,3,2,democrat,74,male,postgraduate,white,urban
2,1945,1,6,1,1,1,1,2,republican,77,male,postgraduate,white,urban
1,1946,1,4,1,4,1,1,2,democrat,76,male,some college,white,other
2,1952,1,3,1,2,11,1,2,republican,70,male,some college,white,suburban
2,1935,1,6,1,4,2,1,2,republican,87,male,postgraduate,white,other
2,1936,1,3,1,2,1,1,2,republican,86,male,some college,white,suburban
1,1946,2,5,1,2,9,3,2,democrat,76,female,college graduate,white,suburban
2,1944,1,5,1,4,11,1,2,republican,78,male,college graduate,white,other
5,1956,1,6,1,4,11,3,1,did not vote,66,male,postgraduate,white,other
1,1951,1,5,1,2,9,3,2,democrat,71,male,college graduate,white,suburban
1,1997,1,2,1,3,11,3,2,democrat,25,male,high school or less,white,rural
1,1951,1,5,1,2,1,1,2,democrat,71,male,college graduate,white,suburban
1,2002,2,3,1,1,1,3,2,democrat,20,female,some college,white,urban
1,1944,1,6,1,5,2,3,2,democrat,78,male,postgraduate,white,other
2,1992,1,5,1,1,2,NA,NA,republican,30,male,college graduate,white,urban
2,1945,1,3,1,4,11,3,2,republican,77,male,some college,white,other
2,1965,2,5,5,2,11,3,2,republican,57,female,college graduate,other,suburban
1,1956,1,6,1,2,9,3,1,democrat,66,male,postgraduate,white,suburban
1,1966,2,5,1,2,1,3,2,democrat,56,female,college graduate,white,suburban
1,1959,2,6,1,1,12,8,2,democrat,63,female,postgraduate,white,urban
1,1959,2,5,2,2,12,3,2,democrat,63,female,college graduate,black,suburban
1,1968,2,3,1,4,9,1,1,democrat,54,female,some college,white,other
1,1970,2,6,4,3,11,3,2,democrat,52,female,postgraduate,asian,rural
1,1937,1,6,1,3,1,3,2,democrat,85,male,postgraduate,white,rural
6,1963,1,5,1,4,1,1,1,other,59,male,college graduate,white,other
1,1967,2,6,1,1,11,2,1,democrat,55,female,postgraduate,white,urban
