age,age_cohort,vote_choice,race,income_tier,urbanicity,region,education,gender,religion,state,pid7
41,"(29,49]",democrat,Hispanic,Lower income,Urban,Midwest,High School Graduate,Male,Roman Catholic,North Dakota,1
53,"(49,64]",democrat,Black,Lower income,Urban,Midwest,4-year College Degree,Female,Protestant,South Dakota,1
37,"(29,49]",democrat,Hispanic,Lower income,Rural,Midwest,4-year College Degree,Female,Nothing in particular,South Dakota,4
54,"(49,64]",democrat,Other,Lower income,Rural,West,No High School,Female,Roman Catholic,Colorado,3
42,"(29,49]",democrat,White,Lower income,Rural,West,Some College,Male,Nothing in particular,Oklahoma,3
65,"(64,90]",republican,White,Lower income,Urban,West,No High School,Male,Eastern or Greek Orthodox,Colorado,7
65,"(64,90]",republican,Black,Lower income,Urban,Northeast,Some College,Male,Muslim,Massachusetts,5
68,"(64,90]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Something else,Ohio,1
63,"(49,64]",democrat,Black,Lower income,Rural,West,2-year College Degree,Female,Protestant,Idaho,1
63,"(49,64]",republican,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,Wyoming,1
51,"(49,64]",democrat,Hispanic,Upper income,Urban,West,Postgraduate Degree,Male,Atheist,New Mexico,1
31,"(29,49]",democrat,Black,Lower income,Rural,Midwest,High School Graduate,Female,Nothing in particular,Nebraska,1
59,"(49,64]",republican,Hispanic,Lower income,Urban,West,No High School,Female,Nothing in particular,New Mexico,7
60,"(49,64]",democrat,Hispanic,Lower income,Rural,West,Postgraduate Degree,Male,Nothing in particular,Hawaii,1
57,"(49,64]",democrat,Black,Lower income,Urban,West,No High School,Female,Protestant,Hawaii,1
53,"(49,64]",republican,White,Lower income,Rural,Midwest,High School Graduate,Female,Nothing in particular,South Dakota,7
54,"(49,64]",republican,Black,Lower income,Urban,South,4-year College Degree,Female,Nothing in particular,North Carolina,4
68,"(64,90]",democrat,Black,Lower income,Urban,Northeast,Some College,Male,Protestant,Maine,1
40,"(29,49]",republican,White,Lower income,Rural,West,2-year College Degree,Male,Agnostic,Nevada,4
26,"(18,29]",democrat,Middle Eastern,Lower income,Urban,Northeast,Postgraduate Degree,Female,Protestant,Pennsylvania,3
56,"(49,64]",democrat,Black,Lower income,Rural,West,Some College,Female,Protestant,Idaho,1
30,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,Ohio,2
59,"(49,64]",democrat,Black,Lower income,Rural,West,Some College,Female,Something else,Idaho,4
28,"(18,29]",democrat,Black,Lower income,Urban,Northeast,High School Graduate,Female,Roman Catholic,Massachusetts,1
51,"(49,64]",democrat,Black,Lower income,Rural,Northeast,High School Graduate,Female,Nothing in particular,Rhode Island,1
36,"(29,49]",democrat,White,Lower income,Urban,Midwest,Some College,Female,Something else,Ohio,4
33,"(29,49]",republican,White,Lower income,Rural,West,High School Graduate,Female,Protestant,Nevada,7
57,"(49,64]",democrat,Black,Lower income,Rural,Midwest,Some College,Female,Something else,South Dakota,1
27,"(18,29]",democrat,Middle Eastern,Lower income,Urban,Midwest,Some College,Female,Something else,Minnesota,6
67,"(64,90]",republican,White,Lower income,Rural,West,High School Graduate,Female,Protestant,Washington,7
58,"(49,64]",republican,Hispanic,Upper income,Urban,Midwest,Postgraduate Degree,Male,Roman Catholic,Minnesota,5
84,"(64,90]",republican,Middle Eastern,Lower income,Urban,West,No High School,Male,Agnostic,Colorado,4
35,"(29,49]",democrat,Black,Lower income,Urban,Northeast,4-year College Degree,Female,Protestant,New Jersey,1
50,"(49,64]",republican,White,Lower income,Rural,West,High School Graduate,Female,Something else,District of Columbia,4
37,"(29,49]",democrat,Middle Eastern,Upper income,Urban,Midwest,4-year College Degree,Male,Atheist,Ohio,3
23,"(18,29]",republican,Black,Lower income,Urban,West,High School Graduate,Male,Protestant,Oklahoma,7
44,"(29,49]",republican,White,Lower income,Urban,West,High School Graduate,Female,Protestant,Hawaii,5
25,"(18,29]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Something else,Nebraska,3
33,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Nothing in particular,Idaho,1
38,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,Kansas,1
24,"(18,29]",democrat,White,Lower income,Rural,Midwest,High School Graduate,Male,Agnostic,Minnesota,1
33,"(29,49]",democrat,Black,Lower income,Rural,West,High School Graduate,Male,Roman Catholic,Colorado,1
50,"(49,64]",democrat,Black,Lower income,Urban,West,No High School,Female,Something else,Hawaii,1
50,"(49,64]",democrat,Hispanic,Lower income,Urban,West,No High School,Female,Roman Catholic,Colorado,1
55,"(49,64]",democrat,White,Lower income,Urban,West,No High School,Female,Nothing in particular,Colorado,1
59,"(49,64]",democrat,Hispanic,Lower income,Urban,West,No High School,Male,Nothing in particular,Colorado,1
44,"(29,49]",democrat,Black,Lower income,Urban,Midwest,No High School,Female,Protestant,Ohio,4
62,"(49,64]",democrat,Black,Lower income,Urban,Midwest,2-year College Degree,Female,Nothing in particular,Minnesota,1
39,"(29,49]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Hawaii,1
51,"(49,64]",democrat,Middle Eastern,Upper income,Urban,West,Postgraduate Degree,Female,Roman Catholic,Colorado,2
52,"(49,64]",democrat,Black,Lower income,Urban,West,No High School,Female,Protestant,Nevada,1
64,"(49,64]",democrat,Hispanic,Upper income,Rural,South,Postgraduate Degree,Male,Roman Catholic,Arkansas,4
22,"(18,29]",democrat,Hispanic,Lower income,Urban,West,Some College,Female,Roman Catholic,Colorado,1
34,"(29,49]",democrat,White,Lower income,Rural,South,High School Graduate,Male,Roman Catholic,Mississippi,1
50,"(49,64]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Protestant,Hawaii,1
30,"(29,49]",democrat,Black,Lower income,Urban,South,No High School,Female,Nothing in particular,North Carolina,2
68,"(64,90]",republican,White,Lower income,Urban,Midwest,No High School,Female,Protestant,South Dakota,6
30,"(29,49]",democrat,Hispanic,Lower income,Urban,Midwest,4-year College Degree,Female,Roman Catholic,Ohio,1
34,"(29,49]",democrat,Middle Eastern,Lower income,Rural,Northeast,High School Graduate,Female,Agnostic,New Hampshire,1
61,"(49,64]",democrat,White,Lower income,Rural,Midwest,No High School,Female,Nothing in particular,South Dakota,1
43,"(29,49]",democrat,Black,Lower income,Urban,South,2-year College Degree,Female,Protestant,Alabama,1
31,"(29,49]",democrat,Black,Lower income,Urban,West,No High School,Male,Nothing in particular,Idaho,4
40,"(29,49]",democrat,White,Upper income,Urban,South,4-year College Degree,Female,Protestant,North Carolina,3
28,"(18,29]",democrat,Black,Lower income,Urban,Midwest,No High School,Female,Nothing in particular,Missouri,1
32,"(29,49]",democrat,Black,Lower income,Rural,South,High School Graduate,Male,Nothing in particular,North Carolina,6
51,"(49,64]",democrat,Middle Eastern,Lower income,Rural,South,High School Graduate,Female,Protestant,Alabama,3
47,"(29,49]",republican,White,Upper income,Urban,Midwest,4-year College Degree,Male,Eastern or Greek Orthodox,Ohio,5
59,"(49,64]",republican,White,Lower income,Rural,Midwest,4-year College Degree,Male,Protestant,Missouri,7
59,"(49,64]",democrat,Black,Lower income,Urban,West,No High School,Female,Nothing in particular,Washington,1
65,"(64,90]",democrat,White,Lower income,Urban,Northeast,Some College,Male,Protestant,New Hampshire,3
23,"(18,29]",republican,Black,Lower income,Urban,West,High School Graduate,Male,Buddhist,Washington,7
59,"(49,64]",democrat,White,Lower income,Rural,West,Some College,Female,Something else,Nevada,1
42,"(29,49]",democrat,White,Lower income,Urban,Northeast,4-year College Degree,Female,Mormon,New Hampshire,1
63,"(49,64]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,Wyoming,1
25,"(18,29]",republican,Black,Lower income,Urban,Midwest,High School Graduate,Female,Something else,Nebraska,6
46,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,Nebraska,1
23,"(18,29]",democrat,Black,Lower income,Urban,West,Some College,Male,Something else,Wyoming,1
48,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,Oklahoma,1
29,"(18,29]",democrat,White,Lower income,Urban,Midwest,4-year College Degree,Female,Roman Catholic,Kansas,3
61,"(49,64]",democrat,White,Lower income,Urban,Northeast,2-year College Degree,Female,Agnostic,Pennsylvania,2
45,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Hawaii,1
35,"(29,49]",democrat,White,Upper income,Urban,West,Postgraduate Degree,Male,Roman Catholic,Idaho,1
38,"(29,49]",democrat,Other,Lower income,Urban,West,Some College,Male,Something else,Colorado,1
52,"(49,64]",republican,Asian,Upper income,Urban,Midwest,Postgraduate Degree,Male,Roman Catholic,Kansas,5
25,"(18,29]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,Washington,1
26,"(18,29]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,Colorado,1
22,"(18,29]",democrat,Black,Lower income,Urban,West,Some College,Female,Nothing in particular,Oklahoma,1
42,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Wyoming,3
42,"(29,49]",democrat,White,Lower income,Urban,South,2-year College Degree,Female,Jewish,Virginia,4
47,"(29,49]",democrat,White,Lower income,Urban,Midwest,4-year College Degree,Male,Atheist,Ohio,4
52,"(49,64]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,Hawaii,1
32,"(29,49]",democrat,Black,Lower income,Urban,West,4-year College Degree,Female,Something else,Colorado,1
47,"(29,49]",republican,White,Lower income,Urban,West,Some College,Female,Protestant,New Mexico,7
51,"(49,64]",democrat,Black,Lower income,Urban,South,4-year College Degree,Female,Protestant,Kentucky,1
47,"(29,49]",republican,White,Lower income,Urban,Midwest,High School Graduate,Male,Protestant,Ohio,7
38,"(29,49]",republican,White,Lower income,Rural,Northeast,Some College,Male,Protestant,Rhode Island,7
55,"(49,64]",democrat,White,Lower income,Rural,West,Some College,Male,Protestant,Washington,3
32,"(29,49]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Protestant,Colorado,1
56,"(49,64]",republican,White,Lower income,Rural,Midwest,Some College,Female,Protestant,Missouri,7
63,"(49,64]",democrat,White,Lower income,Urban,Midwest,2-year College Degree,Female,Roman Catholic,Iowa,2
40,"(29,49]",republican,White,Lower income,Urban,South,4-year College Degree,Female,Protestant,South Carolina,6
53,"(49,64]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,Minnesota,1
53,"(49,64]",democrat,White,Lower income,Urban,Midwest,High School Graduate,Male,Nothing in particular,Michigan,4
65,"(64,90]",democrat,White,Lower income,Urban,Midwest,4-year College Degree,Male,Nothing in particular,Indiana,3
50,"(49,64]",republican,White,Lower income,Urban,South,Some College,Female,Protestant,South Carolina,5
24,"(18,29]",republican,Black,Lower income,Urban,West,High School Graduate,Male,Nothing in particular,Hawaii,2
61,"(49,64]",democrat,White,Lower income,Rural,South,2-year College Degree,Female,Something else,Arkansas,5
53,"(49,64]",republican,White,Lower income,Rural,West,High School Graduate,Male,Protestant,Washington,7
36,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Protestant,Colorado,2
68,"(64,90]",republican,Black,Lower income,Rural,West,2-year College Degree,Female,Something else,Oklahoma,5
84,"(64,90]",democrat,White,Lower income,Urban,Midwest,4-year College Degree,Female,Protestant,North Dakota,1
55,"(49,64]",republican,White,Upper income,Rural,Midwest,Postgraduate Degree,Female,Jewish,South Dakota,7
23,"(18,29]",democrat,White,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,Missouri,2
28,"(18,29]",democrat,Hispanic,Lower income,Urban,South,No High School,Male,Roman Catholic,Arkansas,3
57,"(49,64]",republican,White,Lower income,Urban,South,Some College,Female,Nothing in particular,Kentucky,6
54,"(49,64]",democrat,White,Lower income,Urban,West,4-year College Degree,Male,Nothing in particular,Washington,3
72,"(64,90]",republican,White,Lower income,Rural,West,High School Graduate,Female,Something else,Colorado,7
55,"(49,64]",democrat,White,Lower income,Rural,South,2-year College Degree,Female,Something else,Maryland,1
27,"(18,29]",democrat,White,Upper income,Urban,Midwest,Postgraduate Degree,Male,Roman Catholic,South Dakota,1
47,"(29,49]",democrat,White,Upper income,Urban,Midwest,Postgraduate Degree,Male,Agnostic,Michigan,3
30,"(29,49]",democrat,Black,Lower income,Rural,Midwest,High School Graduate,Female,Nothing in particular,Ohio,1
61,"(49,64]",democrat,White,Lower income,Rural,South,4-year College Degree,Female,Protestant,Virginia,7
41,"(29,49]",republican,White,Lower income,Urban,Midwest,4-year College Degree,Female,Roman Catholic,Kansas,6
28,"(18,29]",democrat,Black,Lower income,Urban,Midwest,2-year College Degree,Female,Protestant,Missouri,1
25,"(18,29]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,North Carolina,1
61,"(49,64]",democrat,White,Lower income,Urban,South,4-year College Degree,Female,Nothing in particular,Maryland,1
52,"(49,64]",republican,White,Lower income,Rural,Midwest,High School Graduate,Male,Something else,South Dakota,5
50,"(49,64]",democrat,White,Upper income,Urban,Midwest,Postgraduate Degree,Male,Agnostic,Ohio,1
35,"(29,49]",democrat,White,Lower income,Rural,West,2-year College Degree,Female,Protestant,Hawaii,1
45,"(29,49]",democrat,White,Lower income,Urban,South,Postgraduate Degree,Female,Something else,Kentucky,2
60,"(49,64]",republican,White,Lower income,Rural,West,4-year College Degree,Male,Roman Catholic,Nevada,5
24,"(18,29]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Nevada,4
52,"(49,64]",democrat,White,Lower income,Rural,West,4-year College Degree,Male,Nothing in particular,Nevada,2
21,"(18,29]",democrat,White,Lower income,Urban,Midwest,Some College,Female,Nothing in particular,Ohio,1
48,"(29,49]",republican,White,Lower income,Urban,Northeast,High School Graduate,Female,Roman Catholic,Pennsylvania,7
33,"(29,49]",democrat,White,Upper income,Rural,South,Postgraduate Degree,Female,Roman Catholic,Mississippi,2
62,"(49,64]",republican,White,Lower income,Rural,South,No High School,Female,Protestant,Maryland,7
57,"(49,64]",republican,White,Upper income,Urban,South,4-year College Degree,Female,Roman Catholic,Virginia,7
69,"(64,90]",republican,White,Lower income,Rural,West,Some College,Female,Nothing in particular,Nevada,7
49,"(29,49]",republican,White,Upper income,Rural,West,4-year College Degree,Female,Roman Catholic,Idaho,7
31,"(29,49]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Protestant,Washington,2
38,"(29,49]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Buddhist,Washington,1
34,"(29,49]",democrat,Native American,Lower income,Urban,West,Some College,Female,Atheist,Washington,4
22,"(18,29]",democrat,White,Lower income,Urban,Midwest,4-year College Degree,Female,Eastern or Greek Orthodox,Ohio,1
61,"(49,64]",republican,White,Lower income,Rural,South,Some College,Female,Protestant,Delaware,4
48,"(29,49]",republican,White,Lower income,Urban,West,High School Graduate,Male,Protestant,Utah,7
31,"(29,49]",republican,Hispanic,Lower income,Urban,South,Some College,Female,Roman Catholic,Arkansas,1
60,"(49,64]",democrat,Hispanic,Lower income,Rural,West,2-year College Degree,Female,Protestant,Hawaii,1
27,"(18,29]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,Wyoming,1
21,"(18,29]",democrat,Black,Lower income,Urban,Northeast,High School Graduate,Male,Muslim,Pennsylvania,1
51,"(49,64]",democrat,White,Upper income,Urban,Midwest,Postgraduate Degree,Female,Protestant,South Dakota,1
39,"(29,49]",democrat,White,Lower income,Urban,West,High School Graduate,Male,Jewish,Nevada,1
34,"(29,49]",democrat,Middle Eastern,Lower income,Urban,Midwest,No High School,Female,Nothing in particular,Kansas,1
51,"(49,64]",democrat,Black,Lower income,Urban,Midwest,No High School,Female,Muslim,Ohio,2
26,"(18,29]",republican,Black,Lower income,Urban,Midwest,High School Graduate,Male,Nothing in particular,Missouri,1
25,"(18,29]",republican,White,Lower income,Urban,West,Postgraduate Degree,Male,Protestant,California,4
45,"(29,49]",democrat,White,Lower income,Urban,Northeast,Postgraduate Degree,Female,Buddhist,Pennsylvania,3
27,"(18,29]",republican,Black,Lower income,Urban,West,Some College,Male,Nothing in particular,Montana,2
39,"(29,49]",democrat,White,Lower income,Rural,Midwest,4-year College Degree,Female,Atheist,South Dakota,1
68,"(64,90]",democrat,Native American,Lower income,Rural,West,Some College,Female,Roman Catholic,Washington,1
57,"(49,64]",democrat,White,Lower income,Rural,Northeast,Some College,Female,Something else,Rhode Island,4
49,"(29,49]",democrat,Black,Lower income,Urban,Northeast,No High School,Female,Protestant,Pennsylvania,3
57,"(49,64]",democrat,White,Lower income,Rural,Northeast,4-year College Degree,Male,Atheist,Massachusetts,2
31,"(29,49]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,Virginia,3
37,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Colorado,1
32,"(29,49]",democrat,Black,Lower income,Urban,West,No High School,Female,Roman Catholic,Washington,6
37,"(29,49]",democrat,Black,Lower income,Urban,Northeast,High School Graduate,Male,Nothing in particular,Pennsylvania,1
65,"(64,90]",democrat,Black,Lower income,Urban,South,High School Graduate,Male,Protestant,Virginia,3
36,"(29,49]",republican,White,Lower income,Urban,South,4-year College Degree,Female,Protestant,Delaware,5
24,"(18,29]",republican,Hispanic,Lower income,Urban,West,2-year College Degree,Female,Hindu,Wyoming,7
59,"(49,64]",democrat,Black,Lower income,Urban,Northeast,High School Graduate,Female,Protestant,Pennsylvania,4
31,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Protestant,Missouri,3
60,"(49,64]",democrat,Asian,Lower income,Urban,South,2-year College Degree,Female,Nothing in particular,Arkansas,1
55,"(49,64]",democrat,White,Lower income,Urban,West,Some College,Male,Mormon,Colorado,3
36,"(29,49]",democrat,Black,Lower income,Urban,West,2-year College Degree,Female,Nothing in particular,Nevada,2
37,"(29,49]",republican,Black,Lower income,Urban,Midwest,High School Graduate,Male,Roman Catholic,Ohio,1
55,"(49,64]",democrat,Hispanic,Lower income,Urban,Midwest,No High School,Male,Roman Catholic,Ohio,1
62,"(49,64]",republican,White,Lower income,Urban,West,2-year College Degree,Male,Nothing in particular,New Mexico,5
56,"(49,64]",democrat,White,Lower income,Rural,Midwest,Some College,Male,Atheist,Ohio,1
35,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Roman Catholic,Washington,2
27,"(18,29]",democrat,Native American,Lower income,Urban,Northeast,Some College,Female,Protestant,Pennsylvania,4
36,"(29,49]",democrat,Black,Lower income,Rural,South,2-year College Degree,Female,Nothing in particular,Alabama,1
60,"(49,64]",democrat,White,Lower income,Urban,West,Some College,Male,Agnostic,Nevada,3
30,"(29,49]",democrat,Black,Lower income,Rural,West,High School Graduate,Male,Nothing in particular,Idaho,1
64,"(49,64]",republican,White,Lower income,Urban,Northeast,High School Graduate,Female,Roman Catholic,Pennsylvania,7
64,"(49,64]",republican,White,Lower income,Urban,West,Some College,Male,Nothing in particular,California,5
22,"(18,29]",democrat,Black,Lower income,Rural,West,Some College,Male,Mormon,Hawaii,1
64,"(49,64]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Something else,Oklahoma,1
58,"(49,64]",republican,Hispanic,Lower income,Urban,South,High School Graduate,Female,Roman Catholic,Arkansas,7
23,"(18,29]",democrat,White,Lower income,Urban,West,4-year College Degree,Male,Agnostic,Oklahoma,1
20,"(18,29]",republican,Black,Lower income,Urban,South,No High School,Female,Nothing in particular,Kentucky,4
63,"(49,64]",democrat,Black,Lower income,Urban,Northeast,High School Graduate,Female,Protestant,Massachusetts,1
38,"(29,49]",democrat,White,Lower income,Urban,West,Some College,Female,Roman Catholic,Colorado,2
21,"(18,29]",democrat,Hispanic,Lower income,Rural,West,High School Graduate,Female,Roman Catholic,Colorado,1
20,"(18,29]",republican,Black,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Colorado,3
30,"(29,49]",democrat,Black,Lower income,Urban,South,Some College,Male,Protestant,Georgia,1
21,"(18,29]",republican,Black,Lower income,Urban,South,High School Graduate,Male,Roman Catholic,Alabama,1
63,"(49,64]",republican,White,Lower income,Rural,Northeast,High School Graduate,Female,Nothing in particular,Massachusetts,4
44,"(29,49]",democrat,Asian,Lower income,Rural,West,4-year College Degree,Male,Nothing in particular,Hawaii,4
22,"(18,29]",republican,White,Lower income,Urban,West,High School Graduate,Female,Protestant,Hawaii,7
71,"(64,90]",republican,White,Lower income,Urban,Northeast,High School Graduate,Female,Protestant,New Jersey,7
22,"(18,29]",republican,Hispanic,Lower income,Urban,Midwest,High School Graduate,Male,Protestant,Ohio,4
55,"(49,64]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,Delaware,2
57,"(49,64]",democrat,Black,Lower income,Urban,Northeast,Some College,Female,Protestant,Pennsylvania,1
35,"(29,49]",republican,White,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,Kansas,6
45,"(29,49]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,Alabama,5
55,"(49,64]",democrat,Black,Lower income,Rural,West,High School Graduate,Male,Nothing in particular,Utah,1
54,"(49,64]",republican,White,Lower income,Rural,South,No High School,Female,Nothing in particular,Virginia,6
52,"(49,64]",democrat,Black,Lower income,Rural,Northeast,2-year College Degree,Female,Nothing in particular,Massachusetts,1
54,"(49,64]",democrat,Black,Lower income,Urban,Northeast,High School Graduate,Female,Something else,Pennsylvania,1
53,"(49,64]",republican,White,Lower income,Rural,West,No High School,Female,Protestant,Hawaii,7
37,"(29,49]",democrat,Hispanic,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,South Dakota,1
46,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Nothing in particular,Hawaii,1
39,"(29,49]",republican,Hispanic,Upper income,Rural,Midwest,Postgraduate Degree,Female,Roman Catholic,Missouri,6
62,"(49,64]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Something else,Wyoming,1
37,"(29,49]",democrat,White,Lower income,Urban,South,Some College,Female,Something else,Louisiana,1
54,"(49,64]",democrat,White,Lower income,Rural,Midwest,4-year College Degree,Female,Nothing in particular,Kansas,2
55,"(49,64]",republican,White,Upper income,Urban,West,Postgraduate Degree,Female,Nothing in particular,Hawaii,4
59,"(49,64]",democrat,Black,Lower income,Urban,South,High School Graduate,Male,Nothing in particular,Georgia,1
22,"(18,29]",democrat,Hispanic,Lower income,Urban,West,No High School,Male,Protestant,Colorado,7
49,"(29,49]",republican,White,Upper income,Rural,West,4-year College Degree,Female,Protestant,Washington,6
48,"(29,49]",democrat,White,Lower income,Urban,Midwest,No High School,Female,Roman Catholic,Missouri,1
61,"(49,64]",democrat,White,Lower income,Rural,South,4-year College Degree,Female,Nothing in particular,Mississippi,1
67,"(64,90]",democrat,Black,Lower income,Rural,West,No High School,Male,Protestant,Hawaii,2
59,"(49,64]",democrat,White,Lower income,Rural,West,4-year College Degree,Female,Agnostic,Oklahoma,1
49,"(29,49]",republican,White,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,Washington,5
46,"(29,49]",republican,White,Lower income,Rural,West,4-year College Degree,Male,Protestant,Montana,5
20,"(18,29]",democrat,Middle Eastern,Lower income,Urban,South,High School Graduate,Female,Roman Catholic,Virginia,1
49,"(29,49]",republican,Hispanic,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,Hawaii,7
40,"(29,49]",democrat,Black,Lower income,Urban,West,Some College,Female,Nothing in particular,Washington,3
20,"(18,29]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Roman Catholic,Washington,1
31,"(29,49]",democrat,Black,Lower income,Urban,Midwest,No High School,Male,Protestant,Nebraska,3
43,"(29,49]",democrat,White,Lower income,Rural,West,2-year College Degree,Female,Protestant,Oklahoma,4
34,"(29,49]",democrat,Black,Lower income,Urban,South,Some College,Male,Protestant,Virginia,1
31,"(29,49]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,Washington,1
32,"(29,49]",democrat,Other,Lower income,Urban,West,2-year College Degree,Female,Protestant,Colorado,3
54,"(49,64]",democrat,Black,Lower income,Rural,West,4-year College Degree,Female,Something else,Oklahoma,3
63,"(49,64]",democrat,Black,Lower income,Rural,West,2-year College Degree,Female,Protestant,Idaho,1
36,"(29,49]",democrat,Black,Lower income,Urban,Midwest,4-year College Degree,Female,Atheist,Ohio,4
36,"(29,49]",republican,White,Lower income,Rural,South,Some College,Female,Protestant,Maryland,3
51,"(49,64]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Something else,Washington,2
22,"(18,29]",democrat,Hispanic,Lower income,Urban,South,No High School,Female,Roman Catholic,Arkansas,5
62,"(49,64]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Atheist,Kansas,1
53,"(49,64]",democrat,Other,Upper income,Rural,West,4-year College Degree,Female,Agnostic,Washington,4
58,"(49,64]",democrat,Black,Lower income,Urban,West,No High School,Female,Something else,Hawaii,2
56,"(49,64]",democrat,Black,Lower income,Rural,Midwest,Some College,Female,Protestant,Nebraska,1
30,"(29,49]",republican,White,Lower income,Rural,South,High School Graduate,Male,Nothing in particular,Maryland,1
70,"(64,90]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Something else,South Dakota,1
32,"(29,49]",democrat,Black,Lower income,Urban,Midwest,Some College,Female,Nothing in particular,Ohio,2
29,"(18,29]",democrat,Native American,Lower income,Urban,South,High School Graduate,Male,Something else,Delaware,2
42,"(29,49]",democrat,White,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,Montana,1
46,"(29,49]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,Washington,1
60,"(49,64]",republican,White,Lower income,Rural,Midwest,High School Graduate,Female,Roman Catholic,Ohio,7
38,"(29,49]",democrat,Black,Lower income,Urban,South,High School Graduate,Male,Protestant,Maryland,1
24,"(18,29]",republican,Black,Lower income,Urban,West,High School Graduate,Male,Protestant,District of Columbia,7
41,"(29,49]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Protestant,Idaho,1
66,"(64,90]",republican,White,Lower income,Urban,Northeast,High School Graduate,Female,Protestant,Pennsylvania,7
46,"(29,49]",democrat,Black,Lower income,Urban,Northeast,High School Graduate,Male,Protestant,Massachusetts,4
25,"(18,29]",republican,Black,Lower income,Urban,West,Some College,Male,Protestant,Washington,4
60,"(49,64]",republican,White,Lower income,Rural,Midwest,High School Graduate,Female,Roman Catholic,Ohio,7
43,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,South Dakota,2
51,"(49,64]",republican,White,Lower income,Rural,Midwest,No High School,Female,Protestant,Minnesota,7
65,"(64,90]",democrat,Hispanic,Lower income,Urban,West,Some College,Female,Roman Catholic,Washington,2
71,"(64,90]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Protestant,Utah,1
43,"(29,49]",republican,White,Lower income,Rural,South,High School Graduate,Male,Nothing in particular,Maryland,4
61,"(49,64]",democrat,Hispanic,Lower income,Urban,Midwest,Some College,Female,Nothing in particular,Ohio,1
28,"(18,29]",democrat,Asian,Lower income,Rural,South,Postgraduate Degree,Female,Protestant,Virginia,3
49,"(29,49]",democrat,Black,Lower income,Urban,South,Some College,Female,Protestant,Virginia,1
52,"(49,64]",democrat,Black,Lower income,Rural,West,4-year College Degree,Male,Nothing in particular,Oklahoma,4
53,"(49,64]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,Ohio,1
36,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Roman Catholic,Kansas,1
