presvote20post,birthyr,gender4,educ,race,urbancity,religpew,gunown,edloan,vvweight,inputstate,pid7,votereg,faminc_new
2,1952,1,2,1,3,1,1,2,1.3922692403,18,7,1,10
2,1966,2,4,5,1,11,1,2,1.2923521676,2,5,1,4
1,1939,2,2,1,1,2,3,2,0.5778509951,55,3,1,5
1,1995,1,5,1,1,9,1,1,0.6915020125,27,1,1,10
1,1948,2,3,3,3,11,8,2,0.3999515343,6,1,1,97
1,1957,2,6,3,2,10,NA,NA,NA,51,1,1,97
1,1984,1,5,1,2,10,1,1,NA,49,3,1,9
2,1958,1,6,1,1,1,1,2,0.5563054078,35,5,1,5
1,1960,1,4,3,2,9,NA,NA,0.2048315703,1,1,1,3
2,1962,1,6,2,2,2,3,2,1.5952857417,36,4,1,14
1,1986,2,5,1,1,9,1,2,1.0494799227,13,2,1,6
2,1969,1,5,1,2,9,NA,NA,0.8363502896,34,5,1,15
2,1976,2,3,1,4,11,1,2,0.5310235761,1,7,1,7
3,1971,1,6,3,1,11,3,2,0.9087111185,36,4,1,9
1,1971,2,3,1,1,12,2,1,0.510213543,5,1,1,1
2,1961,1,5,1,2,2,3,2,1.1457825714,36,6,1,13
6,1964,1,5,1,2,2,3,2,NA,36,4,2,9
2,1970,1,6,1,1,3,3,2,0.6948998058,16,4,1,9
2,1961,1,2,1,4,1,1,2,1.1349465508,42,7,1,7
2,1952,1,2,1,1,1,1,2,1.2192607983,31,6,1,9
1,1960,1,3,1,4,12,3,2,0.3724733763,35,1,1,9
6,1986,1,5,1,2,1,1,2,0.4977213818,2,5,1,9
1,1988,1,3,1,1,7,2,2,NA,8,4,1,5
1,1957,2,5,2,1,1,3,1,0.1997193853,24,1,1,5
2,1967,2,4,1,2,2,3,1,1.0199889292,36,4,1,8
2,1957,2,2,1,2,2,3,2,0.5770542538,29,4,1,8
1,1996,1,5,7,4,9,3,1,0.4749613997,25,1,1,97
1,1980,2,6,1,1,9,1,1,0.5973355737,32,1,1,12
6,1972,2,4,1,3,1,3,NA,NA,42,6,1,7
2,1935,2,2,1,3,2,3,2,1.7244918949,25,5,1,2
1,1985,2,6,2,2,11,3,1,1.0418751638,22,1,1,9
2,1942,1,2,1,2,2,1,2,0.9329152449,17,5,1,97
1,1997,1,5,6,2,11,3,2,0.1338972232,27,2,1,7
1,1958,2,4,1,2,11,2,2,0.7624175675,6,1,1,10
2,1986,1,1,4,2,1,3,2,6.0600778127,26,6,1,97
1,1971,1,5,2,2,11,1,1,0.8001696185,48,4,1,6
2,1996,1,5,1,1,2,NA,NA,0.6946948536,27,2,1,12
2,1952,1,5,3,3,2,2,2,0.3753175298,55,5,1,11
1,1964,2,4,1,2,10,3,2,0.5211952994,48,2,1,9
1,1968,2,2,1,1,1,3,1,0.6160683296,42,4,1,3
2,1964,1,5,1,4,12,1,2,0.8856559282,29,5,1,97
1,1967,2,3,1,1,2,3,2,NA,6,3,1,2
1,1942,1,2,1,3,2,3,2,0.36474958,12,1,1,97
4,1985,1,5,1,1,10,1,2,0.4238911885,41,4,1,7
2,1983,2,3,1,4,1,1,1,1.7616779788,13,7,1,3
1,1949,2,2,1,2,5,3,2,NA,34,1,1,7
6,1971,1,5,1,2,2,3,1,0.8778951715,47,3,1,3
1,1951,1,6,2,2,11,1,2,0.4525689636,18,1,1,97
2,1965,2,5,2,1,1,3,2,2.540533323,36,4,1,9
1,1974,2,3,1,4,11,3,2,0.7624175675,6,1,1,7
2,1964,2,3,1,2,1,8,2,1.0138379978,48,7,1,7
2,1945,2,2,1,2,2,3,2,0.9607614133,36,7,1,2
1,1956,2,2,1,2,11,3,2,0.5369152394,26,1,1,9
1,1971,1,2,1,1,1,3,2,1.8600741031,20,1,1,2
1,1961,2,3,1,1,11,3,2,0.7147337414,19,1,1,3
1,1992,1,3,1,1,10,1,1,0.7274806339,48,3,1,4
1,1989,2,5,1,1,1,2,1,0.9110269159,19,3,1,10
1,1996,1,5,1,1,11,3,2,1.4564692469,53,1,1,11
1,1952,2,4,2,4,11,2,2,NA,24,1,1,7
6,2003,3,1,1,1,10,NA,NA,0.6277196498,40,2,2,10
2,1958,1,5,1,4,12,1,2,1.0920662712,32,5,1,13
1,1993,1,5,1,1,5,3,2,1.9632994664,48,1,1,7
2,1964,1,5,6,2,2,2,1,NA,24,4,1,11
2,1964,1,4,1,2,2,3,2,0.6833103913,34,7,1,10
1,1989,2,6,1,1,2,3,2,NA,34,1,1,10
1,1982,2,6,1,2,2,3,2,NA,36,7,1,9
6,1959,1,1,1,3,11,1,2,NA,13,7,2,2
1,1978,1,5,1,4,1,1,1,1.5278619873,17,3,1,6
2,1985,2,6,3,2,1,1,2,NA,28,7,1,12
2,1958,1,3,6,2,1,1,2,0.2850166577,6,7,1,7
1,1978,1,6,1,2,9,3,2,NA,36,2,1,10
2,1968,1,2,1,2,2,3,2,1.1032296155,25,4,1,11
1,1941,1,2,1,3,11,3,2,0.3311936357,36,1,1,5
3,1979,1,6,1,2,11,3,2,0.2395494639,24,3,1,14
2,1973,2,5,2,2,2,3,2,1.5500908657,48,4,1,97
1,1981,2,3,1,3,11,3,1,0.7980307236,23,2,1,7
1,1946,1,5,3,2,2,3,2,0.2730757982,6,1,1,10
2,1967,1,6,1,2,1,3,2,1.5437550713,17,6,1,9
1,1965,1,2,1,2,2,NA,NA,0.9415116624,53,2,1,7
6,1977,2,2,1,1,11,3,2,NA,39,5,2,1
1,1950,1,6,2,2,11,1,2,0.7473974566,42,2,1,12
2,1979,1,5,1,4,1,8,2,2.2169545615,27,4,1,14
1,1976,1,6,1,1,1,3,1,0.5773500677,37,1,1,6
2,1962,1,5,1,4,1,3,2,1.1288657439,21,7,1,6
1,1947,2,2,1,3,1,3,2,0.8834010705,49,3,1,2
1,1991,1,2,1,2,11,3,2,1.641078925,53,4,1,97
2,1973,1,6,1,3,1,8,2,1.2275654794,37,5,1,97
1,1956,1,3,2,1,1,3,2,0.5047040308,6,1,1,11
2,1966,1,6,6,2,1,3,2,1.0157279125,13,7,1,11
1,1980,2,4,1,3,9,1,1,0.3510195161,38,1,1,11
2,1975,1,3,1,1,11,3,2,0.747970365,32,5,1,6
6,1969,2,1,1,2,7,1,2,0.589628623,48,4,1,11
1,1969,1,3,1,2,2,1,2,0.5764440016,25,4,1,4
1,1977,2,3,1,4,9,2,1,0.1912130396,22,3,1,8
1,1961,1,5,1,2,11,3,2,0.6569574672,25,1,1,10
6,1973,2,2,1,2,11,3,2,NA,41,5,3,3
1,1986,2,6,3,1,10,3,2,0.5044838872,35,1,1,10
6,1986,1,1,3,1,11,NA,NA,NA,17,8,2,2
2,1959,2,3,1,3,1,2,1,1.1006510591,12,5,1,10
1,1965,1,5,1,3,2,1,2,0.4717916547,26,1,1,10
1,1955,2,2,1,1,11,3,2,NA,51,1,1,4
1,1981,2,6,2,2,2,2,2,1.5644680129,48,1,1,9
1,1950,2,3,2,2,12,3,2,0.5876633286,12,1,1,4
2,2001,1,3,1,2,11,2,2,1.354128786,34,4,1,15
2,1983,2,6,1,2,11,2,2,1.7293343801,4,7,1,11
1,1959,1,3,1,2,9,1,2,0.7221183713,8,1,1,7
1,1973,1,6,4,1,7,1,2,1.329578812,6,1,1,11
1,1962,1,4,1,3,1,2,2,0.9982256177,13,8,1,10
2,1947,2,2,1,2,1,1,2,1.5541875613,18,6,1,4
1,1959,2,3,1,4,11,3,2,0.9835827212,23,4,1,97
1,1963,2,3,1,3,11,3,2,0.5958134745,39,1,1,4
1,1992,2,6,1,2,11,3,1,1.3204677024,4,4,1,10
1,1981,1,5,1,2,2,3,2,1.0535359605,51,3,1,11
2,1965,1,5,1,2,2,1,1,0.8976913786,26,7,1,10
1,1953,2,2,1,2,1,1,2,0.7735251706,42,1,1,4
1,1960,2,5,3,1,1,3,2,0.3020699113,40,1,1,97
2,1943,1,2,1,4,2,3,2,0.7156927779,36,4,1,7
1,1974,1,5,1,2,11,3,2,0.5887779273,32,6,1,10
2,1960,1,6,1,2,4,3,2,1.1771094727,51,7,1,12
1,1956,2,2,1,1,2,3,2,0.4707413342,17,2,1,8
1,1971,1,6,1,1,3,3,1,0.8743076563,4,1,1,11
2,1964,2,6,3,2,1,1,1,0.9331775586,48,7,1,11
5,1979,1,5,1,3,2,3,2,0.5677255999,34,5,1,14
1,1976,1,6,1,1,7,3,2,0.6798522096,6,1,1,12
1,1999,1,3,1,3,5,3,1,2.0546462677,36,1,1,10
2,1968,1,3,1,2,2,1,2,1.261951436,27,7,1,7
1,1960,1,6,1,4,9,1,2,0.3729438094,16,3,1,7
1,1948,2,2,1,3,11,8,2,0.7488973866,41,1,1,3
2,1971,1,6,1,1,1,1,1,1.5437550713,17,7,1,13
2,1973,1,5,3,4,2,1,1,0.502745095,55,7,1,97
1,1986,2,6,3,1,1,3,1,0.6807396716,42,2,1,10
1,1964,1,6,1,2,2,3,2,1.093538376,34,1,1,1
2,1960,1,5,1,4,1,3,2,1.2258866908,6,4,1,8
2,1965,2,3,1,2,2,3,2,0.3935498828,31,5,1,97
1,1961,1,3,2,1,1,1,2,0.7298661283,28,1,1,5
2,1939,1,2,1,1,1,1,2,0.8621800454,8,5,1,7
1,1951,2,2,2,1,1,3,2,2.1529383746,6,1,1,2
2,1971,1,5,1,2,2,3,2,0.987433804,17,7,1,7
2,1984,2,5,1,2,1,3,2,2.3472136333,55,6,1,4
2,1955,1,2,1,2,1,NA,2,0.6693062011,51,4,1,5
2,1958,1,5,3,3,11,1,2,1.0590623865,12,5,1,7
2,1973,1,5,3,1,1,3,2,NA,51,7,1,7
2,1969,1,6,1,2,2,2,2,1.0526774372,12,4,1,16
3,1981,1,5,1,2,1,1,2,1.1486437988,4,4,1,7
1,1940,2,2,1,4,2,3,2,0.409610135,31,1,1,5
1,1943,2,2,1,3,5,3,2,0.4556195965,36,1,1,10
2,1966,1,2,1,4,1,1,1,1.6918073329,39,7,1,8
2,1960,1,3,1,5,1,1,2,0.862536999,29,5,1,6
1,1978,1,5,1,2,9,3,2,0.8885422468,41,1,1,12
2,1939,2,1,1,2,2,3,2,4.8846444185,12,7,1,97
1,1992,1,6,2,1,1,NA,NA,1.9290176805,42,2,1,5
1,1987,1,3,2,1,1,3,2,NA,6,3,1,1
1,1972,2,4,4,1,11,3,2,NA,53,2,1,11
2,1947,1,2,7,2,1,8,2,0.4713198631,37,7,1,7
6,1993,1,2,1,3,11,NA,NA,NA,40,8,2,8
2,1946,2,2,1,3,11,8,1,1.2932896792,39,7,1,5
1,1987,2,6,1,2,11,2,2,0.6654435603,24,3,1,97
1,1981,1,6,1,1,2,3,2,NA,6,1,1,11
6,1974,2,3,1,1,2,NA,NA,0.346683022,36,2,2,6
2,1944,2,2,1,2,2,3,2,1.1739421068,4,7,1,4
2,1976,2,5,4,2,1,8,2,NA,24,5,1,9
2,1964,2,4,1,2,11,3,1,1.0963154976,24,5,1,7
2,1964,2,2,1,1,12,1,2,1.6415814428,26,7,1,5
1,1962,1,5,1,2,11,3,2,0.6693327799,9,4,1,7
1,1974,1,6,1,2,9,3,2,0.6798522096,6,2,1,16
2,1963,1,6,1,2,11,1,2,NA,25,6,1,14
1,1962,1,5,4,2,1,3,2,1.1803461598,6,2,1,7
6,1953,1,2,1,3,11,8,2,NA,34,5,2,3
1,1954,2,2,3,4,2,3,2,2.0854653831,36,2,1,2
5,1989,3,5,1,4,11,NA,NA,NA,54,4,1,1
1,1986,1,6,7,1,12,NA,NA,0.778756181,6,4,1,97
2,1962,2,2,1,2,2,3,2,NA,37,2,2,10
2,1965,1,3,1,2,1,1,1,1.0676856084,4,4,1,12
2,1950,1,2,1,3,12,8,2,0.9405155227,18,4,1,5
1,1955,2,4,3,4,1,3,2,0.1434043187,17,1,1,4
2,1953,1,2,1,2,11,3,2,NA,41,4,1,12
6,1991,2,4,1,4,1,1,1,NA,19,6,2,12
1,1979,2,6,1,2,5,3,2,0.8009750887,51,1,1,10
5,1975,1,5,3,2,2,3,1,0.1653177044,36,4,1,9
1,1979,1,5,1,1,5,1,2,1.3904851063,17,4,1,11
1,1969,2,4,1,2,10,8,2,0.787521189,32,3,1,3
1,1987,1,5,2,1,1,NA,NA,1.7258496401,6,4,1,12
2,1942,1,2,1,4,12,8,2,NA,34,5,1,6
3,1967,2,3,1,3,10,3,2,NA,39,4,1,97
2,1959,2,1,1,4,1,1,2,NA,28,6,1,2
6,1957,1,1,1,4,1,1,2,NA,28,6,2,5
6,1947,1,5,3,2,1,3,2,1.6125996088,54,7,1,6
2,1950,2,2,1,4,1,1,2,0.4600792895,22,6,1,2
1,1977,2,4,1,1,12,2,1,0.4909802986,12,3,1,6
1,1972,2,5,1,2,9,3,2,NA,8,1,1,9
2,1961,1,5,1,4,1,1,2,0.9605825151,18,7,1,9
2,1961,1,5,1,2,1,1,2,1.1346268058,29,7,1,8
2,1946,1,1,1,2,4,1,2,5.4128824434,26,7,1,97
1,1954,1,2,1,3,1,1,2,0.6821750236,42,2,1,9
2,1959,1,3,1,4,1,1,2,1.2522958649,13,4,1,7
1,1964,1,6,1,2,10,1,2,0.6076269676,55,3,1,14
6,1954,2,2,1,2,12,2,2,NA,26,6,2,6
2,1975,1,5,1,2,5,1,2,NA,18,1,1,5
6,1987,2,5,4,2,1,2,2,1.4590680219,15,6,1,14
1,1969,2,5,1,2,1,3,2,0.5048452244,39,1,1,11
2,1985,1,6,1,3,2,3,2,1.3334251483,18,5,1,8
2,1974,1,5,1,2,5,3,2,0.4414501557,48,5,1,10
1,1943,1,3,2,1,11,1,2,0.6750215133,28,2,1,4
1,1990,1,4,3,1,2,NA,NA,0.5812365414,36,1,1,2
2,1978,1,6,1,1,1,1,2,4.1540248826,4,6,1,10
2,1966,2,3,6,5,12,1,2,0.3731423464,1,7,1,2
2,1945,1,2,1,2,1,1,2,1.1186519633,1,7,1,8
6,1969,2,2,1,4,1,3,2,NA,29,4,2,4
1,1978,1,5,1,4,9,1,1,1.9877627062,30,2,1,9
1,1996,2,5,1,2,12,3,1,1.0604670323,34,2,1,6
2,1972,2,6,7,3,1,8,1,0.3372488912,18,6,1,8
1,1932,2,2,1,2,11,3,2,0.4048580587,4,1,1,3
2,1947,2,2,1,4,1,1,2,1.2381386908,48,7,1,5
1,1967,2,4,1,2,1,1,1,0.613757078,42,1,1,97
2,1959,1,5,1,2,1,1,2,1.3093587991,39,7,1,9
1,1984,1,6,1,1,9,3,2,1.0865317352,29,1,1,14
1,1958,1,5,1,1,2,3,2,0.5053417603,44,2,1,9
1,1986,2,5,1,2,2,3,1,NA,37,1,1,9
3,1987,1,3,1,1,9,NA,NA,NA,41,3,1,10
1,1979,1,4,1,2,11,3,2,0.6486836042,42,1,1,4
6,1946,2,2,1,1,2,3,2,0.4045090775,48,4,1,9
2,1973,2,4,1,1,2,3,2,1.028858313,55,4,1,3
2,1963,1,3,1,2,9,1,2,0.7499289401,48,7,1,5
2,1960,2,3,1,4,1,1,2,0.9320015706,4,6,1,1
2,1953,1,1,1,3,2,3,2,2.1645381179,9,5,1,2
1,1951,2,2,1,3,1,3,2,0.5369152394,26,1,1,7
2,1967,2,2,1,3,2,3,2,0.3559127541,18,6,1,7
1,1990,1,6,1,1,9,3,2,4.2607271558,37,1,1,13
1,1999,2,1,1,1,10,3,2,2.1106540941,53,3,1,3
2,1966,1,3,1,2,10,3,2,0.6833103913,34,5,1,2
2,1986,1,5,3,2,11,3,2,NA,45,4,1,5
2,1986,2,2,1,1,1,2,2,NA,6,4,1,9
1,1980,1,6,1,2,1,3,2,1.797396531,9,4,1,13
2,1964,2,4,1,3,1,1,2,1.4924578969,1,6,1,6
6,1997,2,5,1,2,11,3,1,0.5778855372,24,1,1,4
1,1966,2,2,1,4,1,1,2,0.4155159612,21,1,1,4
1,1984,2,6,2,1,1,1,1,4.8270290265,13,4,1,7
1,1977,1,3,1,2,11,1,2,0.6193535303,42,3,1,12
1,1983,3,5,1,2,11,3,1,1.3494392168,41,1,1,2
2,1970,1,5,1,4,1,1,2,0.6119258864,48,7,1,4
1,1965,1,6,1,1,1,3,2,0.6029607156,36,1,1,15
1,1999,1,5,1,2,10,1,1,0.9249178912,48,1,1,8
2,1963,1,4,1,2,1,1,1,0.7958221487,6,4,1,12
1,1956,1,2,1,3,1,1,2,0.4849316251,55,1,1,9
6,1951,1,2,1,1,1,3,2,1.1071328029,6,6,1,4
2,1982,2,3,1,3,2,3,2,0.8799842982,34,6,1,3
1,1975,2,4,4,2,2,3,2,4.393613112,6,2,1,6
1,1972,1,5,1,4,2,NA,NA,0.4622738875,27,3,1,12
1,1945,1,2,1,1,2,NA,NA,0.361360807,55,3,1,9
6,2002,1,2,2,3,2,3,2,2.906952337,37,6,2,2
2,1944,1,2,1,3,1,3,2,4.3405303858,40,7,1,4
2,1970,1,2,3,3,11,8,2,2.8587070614,6,4,1,97
1,1952,2,2,2,3,1,8,2,1.128180251,24,1,1,3
6,1986,2,3,1,2,10,2,2,0.5303426827,24,6,1,12
1,1976,2,4,1,1,10,3,1,0.5727526819,6,4,1,7
1,1989,2,6,2,1,11,2,1,0.4728131669,1,1,1,1
2,1990,2,4,1,2,11,3,2,NA,12,5,1,97
1,1995,2,1,1,1,12,NA,NA,2.335606444,12,1,1,6
1,1959,1,6,1,2,12,3,2,0.6798522096,6,3,1,97
1,1979,2,6,1,3,5,3,2,0.9466429476,53,1,1,10
2,1942,1,2,1,4,1,3,2,0.5313984419,34,7,1,5
1,1971,1,3,1,1,11,3,2,0.450298582,6,3,1,13
2,1975,2,6,4,2,11,1,2,NA,39,4,1,11
1,1951,1,3,1,3,10,1,2,0.5696705254,29,1,1,7
1,1974,2,6,5,4,12,1,2,0.3428508117,27,2,1,7
2,1988,1,6,1,2,12,8,1,1.7082705242,18,5,1,8
2,1966,1,6,1,2,10,1,2,NA,28,5,1,14
2,1960,1,3,1,2,1,1,2,0.9607449696,48,5,1,8
2,1947,2,2,1,1,1,1,2,1.6126617685,53,7,1,4
1,1968,2,3,2,3,12,1,2,0.6994143444,12,2,1,4
2,1967,1,5,1,1,9,3,2,1.8927503645,53,5,1,1
1,1961,2,2,1,1,1,3,2,NA,33,1,1,7
1,1965,2,5,1,1,10,3,2,0.6945004113,53,3,1,9
1,1961,1,3,1,2,9,3,2,0.7682312368,53,1,1,10
2,1967,1,5,1,2,1,1,2,NA,48,6,1,9
2,1958,1,5,1,2,1,1,2,0.8599864348,48,6,1,8
1,1995,2,6,2,2,1,3,2,NA,55,1,1,9
2,1962,1,3,1,4,12,1,2,0.9690227051,47,7,1,5
2,1952,1,6,1,2,5,1,2,1.2552251258,12,7,1,8
1,1967,2,5,1,4,2,1,2,0.5995747821,27,6,1,7
6,1955,2,2,1,1,2,3,2,0.4657290943,26,4,1,5
1,1959,2,3,1,2,1,3,2,1.2280321268,39,4,1,8
2,1957,2,2,1,2,5,3,2,1.0873065099,35,6,1,6
1,1949,2,2,1,1,1,3,2,0.5778509951,55,2,1,6
1,1962,2,3,7,4,11,3,2,0.7192996696,6,1,1,4
1,1983,1,5,1,1,9,3,2,1.3953878977,6,1,1,16
1,1967,2,2,1,1,12,2,2,0.6744595361,24,2,1,4
2,1962,1,5,1,3,12,1,2,0.8895457465,49,6,1,11
2,1949,1,4,1,4,1,3,2,NA,53,7,1,3
1,1983,2,6,1,2,1,2,1,0.7903928406,37,1,1,8
1,1970,1,4,1,2,9,3,2,0.6857140795,4,4,1,11
1,1969,1,3,1,2,1,3,2,0.4614005618,12,3,1,7
1,1969,1,6,2,1,7,3,2,NA,42,3,1,6
2,1958,1,3,1,2,1,1,2,1.261951436,27,6,1,1
2,1966,1,5,1,3,1,3,2,0.8976913786,26,5,1,9
1,1979,2,5,2,1,11,3,2,1.3192074934,6,2,1,8
1,1963,1,6,1,4,9,1,2,0.8288617673,51,3,1,10
1,1987,2,5,1,1,5,3,2,NA,36,1,1,10
1,1955,2,2,1,2,5,3,2,0.4642625493,12,2,1,8
2,1946,2,2,1,3,2,3,2,0.9607614133,36,7,1,8
6,1971,1,3,1,2,2,2,2,0.7353985636,21,2,1,8
6,1978,2,5,1,1,2,2,2,0.6687414851,12,5,1,7
2,1958,1,2,1,4,10,1,2,1.0638024104,55,7,1,5
1,1965,2,5,2,1,11,1,2,0.6298651415,48,1,1,97
1,1944,2,6,2,2,1,3,2,0.4905648521,26,1,1,7
1,1994,2,6,6,1,11,3,2,0.5600725444,6,3,1,11
2,1957,2,5,6,4,1,3,1,0.349355098,18,7,1,5
1,1986,2,5,4,1,9,3,1,1.5308482197,48,1,1,11
1,1987,2,3,3,1,2,3,2,NA,48,1,1,5
1,1980,2,3,1,4,9,3,2,0.7593497766,26,1,1,2
2,1964,2,1,1,2,12,2,2,0.9499868529,55,7,1,3
3,1991,2,3,1,1,10,2,1,0.4154523627,18,2,1,5
6,1971,2,3,1,1,1,3,1,NA,55,4,2,3
2,1969,2,4,1,4,11,1,2,0.7580946234,18,7,1,6
1,1960,2,5,1,1,1,3,2,0.9695196635,48,1,1,2
1,1970,1,5,1,1,9,3,2,0.3959205717,1,3,1,6
3,1992,2,5,1,3,1,NA,NA,0.5127431618,51,6,1,6
1,1946,2,5,2,1,1,3,2,0.7345858889,19,1,1,3
1,1975,2,4,1,3,11,3,1,0.4712052479,42,1,1,9
2,1943,2,2,1,4,1,3,2,1.2308455448,36,5,1,5
1,1954,2,5,1,2,11,3,2,0.5759558796,12,1,1,5
2,1955,2,5,1,2,2,1,2,0.8018349896,12,6,1,4
1,1955,1,2,1,2,1,NA,NA,0.2793170618,12,3,1,2
2,1965,1,4,1,2,1,1,2,0.9714273715,22,7,1,11
2,1957,1,6,1,2,2,3,2,1.9876884477,36,7,1,8
1,1995,2,5,1,2,2,3,1,NA,6,1,1,3
6,1967,2,5,4,2,7,3,2,NA,22,4,2,5
1,1952,2,4,1,4,11,1,2,1.4117083469,33,3,1,8
1,1946,1,6,1,1,5,3,2,0.6303963769,6,1,1,3
2,1984,1,6,1,1,2,3,2,2.4161422132,36,5,1,97
6,1991,2,4,3,1,2,3,2,NA,6,3,2,10
2,1957,2,5,7,4,12,3,2,0.6359888174,39,7,1,9
2,1974,1,5,1,2,1,1,2,1.2556535821,4,6,1,11
2,1985,2,6,1,2,1,2,2,NA,51,8,3,14
1,1992,2,6,1,2,11,NA,NA,1.1031905886,26,1,1,4
2,1951,2,3,1,2,1,3,2,1.2252171148,48,7,1,3
2,1987,1,5,3,1,1,NA,NA,NA,6,7,1,7
2,1963,2,3,1,2,11,3,2,1.5535536562,17,7,1,8
2,1970,2,4,1,2,3,8,2,1.1796778144,41,5,1,97
2,1967,1,3,1,1,5,1,2,0.6768640651,6,6,1,8
6,1966,2,1,1,1,1,3,2,NA,20,3,1,3
2,1966,1,6,1,2,4,1,2,NA,6,5,1,97
2,1967,1,5,1,2,1,8,2,NA,6,7,1,8
1,1945,2,2,1,2,1,3,2,NA,45,1,1,8
1,1946,1,3,2,1,10,3,2,1.0376187107,8,2,1,9
6,1982,1,5,2,4,1,3,1,NA,36,1,1,97
2,1962,2,4,1,2,2,3,2,1.022353241,37,7,1,9
1,1962,2,5,2,2,1,8,2,0.8069294755,48,1,1,13
1,1967,1,5,4,2,7,3,2,1.1803461598,6,6,1,7
2,1974,1,5,7,2,2,8,1,1.0055298216,35,7,1,97
2,1942,2,3,1,2,1,3,2,1.5696436247,48,7,1,2
1,1958,2,2,1,1,11,2,2,0.2719681839,55,3,1,8
2,1991,2,3,1,4,12,1,2,NA,26,4,1,1
1,1959,2,3,2,1,1,3,2,0.591474706,47,1,1,4
1,1973,2,4,2,4,10,3,2,0.5148480262,6,2,1,9
6,2004,2,3,1,3,10,3,2,NA,2,4,3,3
2,1951,1,2,1,2,12,8,2,1.1724810368,53,4,1,5
6,1946,1,2,1,2,10,3,2,NA,45,6,2,2
2,1998,1,3,1,2,1,1,2,4.366776274,20,5,1,3
1,1975,1,6,3,1,9,3,1,0.440094445,6,3,1,14
1,1962,1,5,2,1,11,3,2,NA,36,1,1,7
2,1950,1,2,1,4,11,1,2,1.2011954998,5,4,1,4
1,1988,2,5,1,1,10,3,1,1.5774711658,4,1,1,4
1,1949,1,5,1,4,1,3,2,0.4260968517,36,7,1,8
1,1949,2,4,3,1,2,3,2,0.2368887683,36,1,1,6
1,1949,2,2,1,4,1,3,2,0.5661520826,17,4,1,10
1,1960,1,2,1,4,10,1,2,0.7058991717,13,1,1,7
1,1972,1,4,3,3,7,3,2,NA,34,4,1,9
2,1956,1,2,1,2,1,2,2,0.7920554044,42,6,1,6
2,1961,2,2,1,2,12,2,2,0.8903037936,48,7,1,8
4,1998,1,3,1,3,11,NA,NA,0.4694862117,39,4,1,4
2,1982,2,5,1,2,3,1,2,NA,49,7,1,11
2,1964,1,2,1,3,11,1,2,1.3205744709,39,5,1,10
1,1953,2,1,1,1,9,3,2,0.9297790434,4,1,1,1
2,1990,2,5,2,2,1,3,1,1.3563835365,28,7,1,6
2,1948,2,2,1,2,12,3,2,1.1739421068,4,7,1,3
2,1946,1,3,3,1,2,1,2,0.5465873661,6,7,1,97
6,1960,1,3,1,4,11,3,2,NA,45,4,2,9
1,1962,2,5,1,2,10,3,2,0.4568201711,32,1,1,4
1,1963,2,3,1,4,12,2,2,0.6593696426,41,1,1,4
2,1956,1,4,1,2,1,1,2,0.7025234382,4,7,1,7
2,1950,2,2,1,2,1,3,2,0.9664542261,48,7,1,97
2,1962,1,5,1,1,2,8,1,NA,55,5,1,11
1,1975,2,5,2,1,1,3,2,NA,24,1,1,7
2,1968,1,3,1,1,11,3,2,NA,12,6,1,3
2,1959,1,3,7,4,1,3,2,0.1122571239,17,5,1,3
2,1972,2,3,1,1,3,3,1,NA,49,4,1,3
1,1987,1,5,1,3,9,3,1,1.5409730984,8,2,1,4
2,1969,1,2,1,4,1,8,2,1.239756475,36,4,1,6
1,1974,1,3,2,2,1,NA,NA,0.4582447811,24,4,1,6
6,1960,1,6,8,2,10,3,2,NA,10,4,2,7
2,1975,2,3,1,2,11,3,1,0.8591354712,12,6,1,7
2,1961,2,3,1,3,2,1,2,NA,22,7,1,97
1,1958,2,6,3,3,2,2,2,0.6375462883,6,1,1,12
1,1951,2,4,1,2,1,3,2,0.5090201917,21,1,1,7
1,1946,2,3,1,2,2,3,2,1.0425157351,6,4,1,6
2,1951,1,3,1,2,2,3,2,0.273328436,2,6,1,9
1,1992,1,5,1,2,11,1,2,1.3862219738,13,4,1,9
1,1958,2,3,2,2,11,3,2,0.7768144697,12,1,1,5
6,1975,1,6,4,1,10,3,1,NA,49,4,1,8
1,1971,2,4,2,3,12,3,2,0.5431216146,28,1,1,3
1,1960,2,5,1,3,9,3,2,0.2528823562,46,2,1,2
1,1989,2,2,3,1,11,3,2,0.841745394,55,2,1,4
1,1946,2,4,1,2,1,3,2,0.6780192489,42,3,1,4
1,1956,2,2,1,2,9,3,2,0.5369152394,26,1,1,4
1,1947,2,6,1,4,9,2,2,0.6077415098,39,1,1,97
2,1964,1,5,3,2,2,3,1,1.3567803641,12,7,1,6
1,1979,1,3,1,1,11,1,2,1.2443792302,31,1,1,3
6,2003,1,3,1,2,9,3,2,NA,39,1,2,12
1,1969,2,6,6,2,9,3,1,1.4249132484,44,1,1,14
2,1945,1,2,1,2,1,3,2,NA,21,7,1,4
2,1981,1,6,1,3,1,3,2,2.6523085825,48,7,1,14
2,1984,2,2,1,4,1,3,2,0.7019685317,48,7,1,9
2,1953,1,5,1,3,2,3,2,0.3264314115,36,4,1,7
3,1972,1,5,1,4,10,1,1,0.0691369999,1,5,1,12
1,1982,1,2,1,4,1,1,2,NA,12,2,1,4
2,1962,2,3,1,1,2,1,2,1.3671443402,29,7,1,10
2,1946,1,2,1,3,1,3,2,0.8158190024,17,6,1,8
